corp_code,fyear,ni,ocf,at,rev,cogs,at_prev,stock_code_x,corp_name_x,stock_code_y,corp_name_y
00100717,2016,-142116069548.0,4906587697.0,34489155276.0,12116007725.0,9866803454.0,64018783988.0,23430.0,아이이,,
00200956,2015,-1857333559.0,5793839160.0,165367740890.0,148416531151.0,143358479260.0,148439073419.0,26180.0,현대정보기술,,
00200956,2016,669340892.0,3669048056.0,173615285002.0,167791515778.0,162163105883.0,165367740890.0,26180.0,현대정보기술,,
00200956,2017,995014213.0,22900035501.0,178481654034.0,157432210269.0,150194314801.0,173615285002.0,26180.0,현대정보기술,,
00200956,2018,-6188688101.0,20944566010.0,177208549820.0,149687265159.0,145232256204.0,178481654034.0,26180.0,현대정보기술,,
00527880,2015,1675349396.0,2157781973.0,42163047331.0,24830038487.0,17975238893.0,34676327945.0,122800.0,썬테크놀로지스,,
00527880,2016,-7826059671.0,1533276707.0,46622172817.0,25054557366.0,17734448652.0,42163047331.0,122800.0,썬테크놀로지스,,
00527880,2017,-12920233408.0,-1019142007.0,32929431723.0,15229792843.0,14586135517.0,46622172817.0,122800.0,썬테크놀로지스,,
00527880,2018,-7042194260.0,-3651846677.0,32944351278.0,13147974855.0,14031772520.0,33447160498.0,122800.0,썬테크놀로지스,,
00222806,2015,-1281902571.0,-1166772770.0,20850516545.0,13561617122.0,12482192032.0,20736458527.0,43580.0,에임하이글로벌,,
00222806,2016,-11994310477.0,-3395289663.0,34209217343.0,4439598645.0,5581954293.0,20850516545.0,43580.0,에임하이글로벌,,
00222806,2017,-21077959489.0,-11609872693.0,151395167775.0,23255545154.0,13442713802.0,34209217343.0,43580.0,에임하이글로벌,,
00526465,2015,475697534.0,476900618.0,8054468751.0,524685171.0,,8053237815.0,83380.0,동북아13호선박투자회사,,
00526465,2016,477000761.0,482466904.0,8056212275.0,528360092.0,,8054468751.0,83380.0,동북아13호선박투자회사,,
00526465,2017,475697482.0,474154312.0,8057265079.0,528997919.0,,8056212275.0,83380.0,동북아13호선박투자회사,,
00526465,2018,475697525.0,473072161.0,8054558511.0,527476088.0,,8057265079.0,83380.0,동북아13호선박투자회사,,
00526465,2019,475697503.0,479497272.0,8058479018.0,527653637.0,,8054558511.0,83380.0,동북아13호선박투자회사,,
00324104,2015,-2310324351.0,5015542573.0,127575716398.0,133725127145.0,121472206483.0,139243034624.0,47440.0,디케이씨,,
00324104,2016,-17704854246.0,-4466302977.0,85083365208.0,99824345815.0,95540294602.0,127575716398.0,47440.0,디케이씨,,
00324104,2017,-27689142267.0,-6930978223.0,66814631296.0,80277520336.0,82589794789.0,85083365208.0,47440.0,디케이씨,,
00930321,2015,5622476721.0,7303099139.0,70534569043.0,11316031490.0,7018748075.0,70505245769.0,159650.0,하이골드오션8호국제선박투자회사,,
00930321,2016,-9937884826.0,6286780495.0,54493481161.0,9430340323.0,7120085185.0,70534569043.0,159650.0,하이골드오션8호국제선박투자회사,,
00930321,2017,-18522366775.0,166926349.0,39494641776.0,3913975202.0,5961061009.0,54493481161.0,159650.0,하이골드오션8호국제선박투자회사,,
00930321,2018,3024024595.0,1059764815.0,39420295122.0,3545812476.0,3957783035.0,39494641776.0,159650.0,하이골드오션8호국제선박투자회사,,
00930321,2019,-2177706766.0,1930834191.0,34764935429.0,3968113890.0,3965307886.0,39420295122.0,159650.0,하이골드오션8호국제선박투자회사,,
00695464,2015,415846498.0,400890485.0,3284281992.0,3438148507.0,2633201685.0,3017081906.0,900040.0,차이나그레이트스타인터내셔널리미티드,,
00695464,2016,314949439.0,393858460.0,3552511942.0,3315669222.0,2522667641.0,3284281992.0,900040.0,차이나그레이트스타인터내셔널리미티드,,
00695464,2017,-96850515.0,-615968945.0,3253995053.0,3041149664.0,2324085089.0,3552511942.0,900040.0,차이나그레이트스타인터내셔널리미티드,,
00695464,2018,190210517.0,478935432.0,3340548226.0,2728525906.0,2088903936.0,3253995053.0,900040.0,차이나그레이트스타인터내셔널리미티드,,
00123152,2015,-13627506584.0,-2958427250.0,43249235081.0,43789214869.0,35175350010.0,47350193240.0,4740.0,보루네오가구,,
00123152,2016,-14338968806.0,-10925917151.0,30438506354.0,32433889315.0,25186891880.0,43249235081.0,4740.0,보루네오가구,,
00123152,2018,-2693847431.0,-2735086225.0,16674653055.0,1568727202.0,1383476319.0,25444299737.0,4740.0,보루네오가구,,
00671437,2015,-30607651058.0,-3713924513.0,119796559959.0,31906123551.0,33401364770.0,146986405662.0,123260.0,파인넥스,,
00671437,2016,-48663564935.0,-368438348.0,61788963330.0,14033558765.0,40802246485.0,119796559959.0,123260.0,파인넥스,,
00671437,2017,-14115721755.0,-3512159250.0,60595888810.0,19302857462.0,24660638959.0,61788963330.0,123260.0,파인넥스,,
00671437,2018,-28900722901.0,-2966863497.0,46632785900.0,11706789951.0,11890332516.0,60595888810.0,123260.0,파인넥스,,
00102681,2015,-119797142354.0,22017073575.0,639092219253.0,607061245847.0,643755248092.0,765489602877.0,4200.0,고려개발,,
00102681,2016,-30536187744.0,17490269835.0,606489017255.0,623864862606.0,567959813832.0,639092219253.0,4200.0,고려개발,,
00102681,2017,5722590645.0,35535002763.0,662677938094.0,663099105607.0,579833203230.0,606489017255.0,4200.0,고려개발,,
00102681,2018,621453659.0,16352056463.0,592950573168.0,554056737260.0,479281556118.0,662677938094.0,4200.0,고려개발,,
00102681,2019,34327669895.0,39442580835.0,613423165001.0,684940210963.0,588418063762.0,592950573168.0,4200.0,고려개발,,
01066030,2018,-6393963115.0,,3374677337.0,16008309436.0,-12964124288.0,22958550390.0,220110.0,드림티엔터테인먼트,,
00526447,2015,475697429.0,475513598.0,7986650179.0,524685171.0,,8102801544.0,83370.0,동북아12호선박투자회사,,
