corp_code,fyear,ni,ocf,at,rev,cogs,at_prev,stock_code_x,corp_name_x,stock_code_y,corp_name_y,stock_code,tacc,gpoa
00569992,2017,43188671139.0,8580611716.0,206158796360.0,361142430106.0,273158841915.0,190971750619.0,123100.0,원익테라세미콘,,,123100,0.18122083141000858,0.46071519952986395
00232496,2015,-24346725445.0,-11153020504.0,81902827419.0,25161179914.0,27552189676.0,69781374399.0,99830.0,씨그널엔터테인먼트그룹,,,099830,-0.18907201319309458,-0.03426429735144718
00232496,2016,-33838321912.0,-1231087723.0,50871848509.0,23996316239.0,19664634263.0,78988132227.0,99830.0,씨그널엔터테인먼트그룹,,,099830,-0.4128118145051426,0.05483965570361125
00232496,2017,-9822886231.0,-6156236492.0,48941775910.0,31328168339.0,28406216622.0,50871848509.0,99830.0,씨그널엔터테인먼트그룹,,,099830,-0.07207620415741949,0.05743749839330219
00232496,2018,-8231460501.0,-8504254656.0,39296991158.0,16828150323.0,14606597018.0,48941775910.0,99830.0,씨그널엔터테인먼트그룹,,,099830,0.005573850763030066,0.04539175916062503
00609254,2015,-11765442579.0,-4415301484.0,34055049766.0,3062969150.0,2858562133.0,19547137264.0,111610.0,세왕,,,111610,-0.3760213577942571,0.01045713314636905
00865382,2015,329455400.0,282479099.0,103263702056.0,3376895477.0,,103174549761.0,140890.0,트러스와이제7호위탁관리부동산투자회사,,,140890,0.0004553089992524208,
00865382,2016,-126609801.0,1034252453.0,101688406059.0,3038689248.0,,102858137509.0,140890.0,트러스와이제7호위탁관리부동산투자회사,,,140890,-0.01128605166410315,
00865382,2017,253523619.0,1114326839.0,102630381386.0,3237779631.0,,102275399259.0,140890.0,트러스와이제7호위탁관리부동산투자회사,,,140890,-0.008416522704742718,
00865382,2018,,1060381005.0,,,,102522569560.0,140890.0,트러스와이제7호위탁관리부동산투자회사,,,140890,,
01139266,2016,178964582.0,-105234384.0,1322593072.0,924581251.0,610213458.0,589578126.0,900260.0,로스웰,,,900260,0.4820378393753367,0.5332080332301881
01139266,2017,179578520.0,-204398079.0,1709668501.0,1154352383.0,816828463.0,1322593072.0,900260.0,로스웰,,,900260,0.29032104214742177,0.25519861486163903
01139266,2018,76356256.0,291728406.0,1691952670.0,814683873.0,616016067.0,1709668501.0,900260.0,로스웰,,,900260,-0.1259730467479672,0.11620253042259214
01139266,2019,16457592.0,421404014.0,1999323535.0,579679971.0,466263688.0,1691952670.0,900260.0,로스웰,,,900260,-0.23933673156471924,0.06703277521350523
01139266,2020,-443219771.0,28703575.0,1825992492.0,338851160.0,251344833.0,1999323535.0,900260.0,로스웰,,,900260,-0.23604150991000064,0.04376796724898254
00580180,2018,10888702564.0,16108934803.0,75152268364.0,60939330961.0,38376227296.0,64938182237.0,176560.0,포인트엔지니어링,,,176560,-0.08038771735168242,0.34745511635439896
00473400,2015,-2995653863.0,11136131841.0,82026411114.0,19009612799.0,14575457859.0,85951431567.0,77280.0,한컴지엠디,,,077280,-0.1644159433573149,0.051589076053300306
00473400,2016,-1196006457.0,1695150548.0,74355466261.0,15025709296.0,9530462643.0,82026411114.0,77280.0,한컴지엠디,,,077280,-0.03524665977378775,0.06699362532590541
00473400,2017,865220992.0,4965784343.0,68389118278.0,9540699521.0,3531558458.0,74355466261.0,77280.0,한컴지엠디,,,077280,-0.05514810890441254,0.08081639945484195
00473400,2018,1563263819.0,1890321991.0,68119242318.0,10978997926.0,4024899820.0,68389118278.0,77280.0,한컴지엠디,,,077280,-0.004782313038026269,0.10168427786613318
00100717,2015,-12371237076.0,1034112603.0,64018783988.0,31967266944.0,27142424818.0,78499052038.0,23430.0,아이이,,,023430,-0.17077084793980324,0.061463699251608536
00100717,2016,-142116069548.0,4906587697.0,34489155276.0,12116007725.0,9866803454.0,64018783988.0,23430.0,아이이,,,023430,-2.2965549809968064,0.03513350505722824
00200956,2015,-1857333559.0,5793839160.0,165367740890.0,148416531151.0,143358479260.0,148439073419.0,26180.0,현대정보기술,,,026180,-0.051544196165944675,0.0340749357598225
00200956,2016,669340892.0,3669048056.0,173615285002.0,167791515778.0,162163105883.0,165367740890.0,26180.0,현대정보기술,,,026180,-0.018139615065524525,0.03403571860332741
00200956,2017,995014213.0,22900035501.0,178481654034.0,157432210269.0,150194314801.0,173615285002.0,26180.0,현대정보기술,,,026180,-0.12616988929141612,0.04168927561831103
00200956,2018,-6188688101.0,20944566010.0,177208549820.0,149687265159.0,145232256204.0,178481654034.0,26180.0,현대정보기술,,,026180,-0.15202265049511043,0.024960598774770092
00527880,2015,1675349396.0,2157781973.0,42163047331.0,24830038487.0,17975238893.0,34676327945.0,122800.0,썬테크놀로지스,,,122800,-0.013912447066632447,0.19767951222725696
00527880,2016,-7826059671.0,1533276707.0,46622172817.0,25054557366.0,17734448652.0,42163047331.0,122800.0,썬테크놀로지스,,,122800,-0.2219795999213423,0.17361431816191228
00527880,2017,-12920233408.0,-1019142007.0,32929431723.0,15229792843.0,14586135517.0,46622172817.0,122800.0,썬테크놀로지스,,,122800,-0.2552667686191679,0.01380582000170745
00527880,2018,-7042194260.0,-3651846677.0,32944351278.0,13147974855.0,14031772520.0,33447160498.0,122800.0,썬테크놀로지스,,,122800,-0.10136428720766083,-0.026423697911601415
00222806,2015,-1281902571.0,-1166772770.0,20850516545.0,13561617122.0,12482192032.0,20736458527.0,43580.0,에임하이글로벌,,,043580,-0.0055520474168766435,0.05205445706143745
00222806,2016,-11994310477.0,-3395289663.0,34209217343.0,4439598645.0,5581954293.0,20850516545.0,43580.0,에임하이글로벌,,,043580,-0.4124128433672817,-0.05478788237857538
00222806,2017,-21077959489.0,-11609872693.0,151395167775.0,23255545154.0,13442713802.0,34209217343.0,43580.0,에임하이글로벌,,,043580,-0.27677005004434546,0.2868475841937943
00526465,2015,475697534.0,476900618.0,8054468751.0,524685171.0,,8053237815.0,83380.0,동북아13호선박투자회사,,,083380,-0.00014939134142532458,
00526465,2016,477000761.0,482466904.0,8056212275.0,528360092.0,,8054468751.0,83380.0,동북아13호선박투자회사,,,083380,-0.0006786472415479112,
00526465,2017,475697482.0,474154312.0,8057265079.0,528997919.0,,8056212275.0,83380.0,동북아13호선박투자회사,,,083380,0.0001915503151262235,
00526465,2018,475697525.0,473072161.0,8054558511.0,527476088.0,,8057265079.0,83380.0,동북아13호선박투자회사,,,083380,0.00032583810688351317,
00526465,2019,475697503.0,479497272.0,8058479018.0,527653637.0,,8054558511.0,83380.0,동북아13호선박투자회사,,,083380,-0.00047175385153769853,
